"HBID","dti_dtitk_jhutract_tr_atr_l","dti_dtitk_jhutract_tr_atr_r","dti_dtitk_jhutract_tr_cst_l","dti_dtitk_jhutract_tr_cst_r","dti_dtitk_jhutract_tr_cgc_l","dti_dtitk_jhutract_tr_cgc_r","dti_dtitk_jhutract_tr_cgh_l","dti_dtitk_jhutract_tr_cgh_r","dti_dtitk_jhutract_tr_forceps_mjor","dti_dtitk_jhutract_tr_forceps_minor","dti_dtitk_jhutract_tr_ifo_l","dti_dtitk_jhutract_tr_ifo_r","dti_dtitk_jhutract_tr_ilf_l","dti_dtitk_jhutract_tr_ilf_r","dti_dtitk_jhutract_tr_slf_l","dti_dtitk_jhutract_tr_slf_r","dti_dtitk_jhutract_tr_uf_l","dti_dtitk_jhutract_tr_uf_r"
199352133,2.22631,2.22544,2.06218,2.0496,2.17769,2.15073,2.17275,2.07003,2.2351,2.2729,2.22138,2.18209,2.15417,2.07436,2.15907,2.10904,2.29483,2.36279
1753490809,2.17717,2.21962,2.06742,2.05314,2.16236,2.16338,2.23209,2.15154,2.31584,2.28735,2.20591,2.18081,2.17505,2.12988,2.13616,2.11609,2.27401,2.39138
666185463,2.13527,2.23895,2.0512,2.0433,2.16247,2.12574,2.40189,2.1587,2.55984,2.2548,2.19619,2.20346,2.15472,2.0722,2.17677,2.10513,2.35773,2.44846
379180764,2.1317,2.25318,1.93389,1.96267,1.95373,1.97339,2.07399,2.04501,2.68918,2.17989,2.24772,2.1694,2.09907,2.07494,2.13471,2.09074,2.18158,2.24348
2716317602,2.12689,2.20791,1.99075,1.98897,1.9994,2.08754,2.18989,2.09632,2.24002,2.23306,2.13509,2.07042,2.02852,1.96351,2.05339,2.02443,2.24844,2.32539
1343122718,2.11214,2.14686,1.95728,2.03329,2.10541,2.10445,2.31528,2.11882,2.0532,2.23187,2.17835,2.12582,2.09399,2.04714,2.12298,2.02377,2.26301,2.33581
25535893,2.07687,2.23369,1.96221,2.05721,2.09368,2.09687,2.20168,2.16595,2.28638,2.38318,2.26224,2.27762,2.17237,2.12653,2.18562,2.08938,2.22349,2.36894
429918668,,,,,,,,,,,,,,,,,,
248793696,2.08727,2.19949,1.99455,2.01855,2.02734,2.13428,2.14251,2.06149,2.22948,2.191,2.18034,2.17571,2.11062,2.11315,2.12271,2.06326,2.31007,2.37645
2761175367,2.09656,2.154,1.98858,1.9686,2.03751,2.04575,2.17845,2.02294,2.88303,2.15786,2.08996,2.05252,2.0993,1.99554,2.08341,1.98649,2.25112,2.25664
2969014077,2.10751,2.20936,1.93619,1.96696,2.02184,2.00668,2.10675,2.0983,2.19569,2.1969,2.18708,2.15006,2.08808,2.06595,2.0853,2.00623,2.19881,2.223
4163447383,,,,,,,,,,,,,,,,,,
561946273,2.09158,2.19054,1.97416,1.99843,1.98361,1.98988,2.1916,2.08336,2.21183,2.12396,2.1262,2.10572,2.10113,2.03042,2.07801,1.9714,2.19767,2.21113
1565165476,,,,,,,,,,,,,,,,,,
591080700,2.139,2.22476,1.92275,1.99409,2.13433,2.14966,2.15671,1.99436,2.29135,2.2665,2.19219,2.22529,2.10223,2.01551,2.14944,1.99375,2.30981,2.32715
1055786393,2.2439,2.32425,2.05233,2.05601,2.11886,2.17981,2.36188,2.10272,2.8135,2.34389,2.29873,2.33294,2.18701,2.2205,2.19805,2.16256,2.22098,2.35234
361032043,2.08743,2.19635,1.972,2.00326,2.02731,2.09202,2.18307,2.08181,2.18594,2.17156,2.14575,2.18247,2.06543,2.06528,2.09805,1.98886,2.16855,2.32848
735501373,2.14711,2.18902,1.98879,1.98422,2.17918,2.13087,2.24575,2.14725,2.37228,2.22909,2.21294,2.18521,2.15223,2.0815,2.18869,2.07337,2.34883,2.40363
857543307,2.2016,2.2894,1.93124,1.97626,2.13259,2.2031,2.09817,1.97128,2.32581,2.30644,2.2642,2.24302,2.21185,2.15277,2.23306,2.17095,2.26518,2.36073
2303529910,2.2328,2.32708,2.00492,1.98065,2.05076,2.06754,2.2323,2.10494,2.37605,2.2159,2.16652,2.2025,2.08141,2.05913,2.10444,2.07468,2.20662,2.27718
1117728478,2.1653,2.23097,2.03674,2.04516,2.11822,2.1038,2.27185,2.17943,2.20729,2.24776,2.2275,2.22576,2.16935,2.1312,2.18143,2.14668,2.23657,2.36677
2869603869,2.15897,2.2511,1.97979,1.99997,2.12298,2.14145,2.26217,2.06738,2.12489,2.22012,2.15693,2.12046,2.08574,2.05037,2.16355,2.0902,2.19649,2.24952
3247526112,2.12311,2.24208,2.03194,2.01523,2.02298,2.08092,2.29081,2.13216,2.78038,2.25202,2.18922,2.18662,2.13439,2.05463,2.13859,2.065,2.2106,2.29854
541266969,2.06786,2.15709,1.97204,1.96698,1.99288,1.99397,2.1624,1.99729,2.22807,2.16888,2.18765,2.16215,2.14839,2.09671,2.15817,2.06149,2.17098,2.16152
2764477866,2.01326,2.08243,1.95878,1.94663,1.99697,2.01872,2.35229,2.21286,2.0988,2.13236,2.09634,2.11306,2.0355,2.02535,2.03428,2.01678,2.12574,2.28866
1643413275,2.17912,2.22003,2.06506,2.05871,2.0945,2.08934,2.25405,2.0814,2.38787,2.24207,2.21074,2.16174,2.16328,2.08748,2.18255,2.03367,2.35469,2.34519
