"HBID","dti_jlf_rd_L_Limbic_Lobe_WM","dti_jlf_rd_L_Insular_Lobe_WM","dti_jlf_rd_L_Frontal_Lobe_WM","dti_jlf_rd_L_Parietal_Lobe_WM","dti_jlf_rd_L_Occipital_Lobe_WM","dti_jlf_rd_L_Temporal_Lobe_WM","dti_jlf_rd_R_Limbic_Lobe_WM","dti_jlf_rd_R_Insular_Lobe_WM","dti_jlf_rd_R_Frontal_Lobe_WM","dti_jlf_rd_R_Parietal_Lobe_WM","dti_jlf_rd_R_Occipital_Lobe_WM","dti_jlf_rd_R_Temporal_Lobe_WM"
326545983,0.57911,0.5164,0.61244,0.61289,0.66104,0.59421,0.58027,0.52989,0.62007,0.62657,0.64467,0.61797
551055209,0.55111,0.53167,0.60278,0.61726,0.65952,0.58585,0.56572,0.54711,0.61301,0.61328,0.65893,0.60293
2130406069,0.55587,0.53819,0.6139,0.61027,0.67504,0.61184,0.56093,0.52413,0.61374,0.62615,0.65383,0.60141
1081203092,0.62659,0.55736,0.63094,0.68054,0.73962,0.61258,0.61566,0.555,0.61782,0.67825,0.69021,0.63117
2893739545,0.5623,0.55387,0.64804,0.62365,0.67816,0.58949,0.57376,0.54597,0.64239,0.6469,0.6896,0.61947
1503668691,0.60022,0.55328,0.62434,0.62604,0.64914,0.60666,0.61576,0.55395,0.63031,0.63318,0.64129,0.61088
1976187572,0.61762,0.58238,0.6514,0.67112,0.67769,0.652,0.60166,0.56597,0.64291,0.66947,0.65013,0.61274
2156223539,0.5783,0.57563,0.62993,0.63447,0.66963,0.61899,0.58574,0.56995,0.64085,0.66238,0.65495,0.62974
419772428,,,,,,,,,,,,
731302768,0.5445,0.53596,0.59737,0.59794,0.62761,0.57508,0.54672,0.55175,0.60607,0.61133,0.63468,0.59814
638938933,0.62291,0.54516,0.67898,0.66068,0.73717,0.62104,0.62172,0.55355,0.6864,0.67413,0.70999,0.63879
42090739,0.58783,0.55593,0.6138,0.61772,0.65579,0.5873,0.58055,0.55612,0.606,0.6378,0.65399,0.59685
799634514,0.60898,0.54475,0.65707,0.68713,0.71315,0.60418,0.60465,0.54737,0.64656,0.69672,0.70893,0.63246
3763064658,0.58099,0.55943,0.6554,0.63884,0.68942,0.61749,0.58953,0.56995,0.65059,0.65325,0.68584,0.63976
2005242503,0.56758,0.52906,0.59897,0.62542,0.66412,0.59081,0.5737,0.52403,0.58906,0.64952,0.64606,0.59484
4116628076,0.58487,0.54115,0.63521,0.63654,0.68998,0.60593,0.56911,0.531,0.63618,0.63509,0.68226,0.6222
1725764638,0.66332,0.66305,0.68095,0.73551,0.78155,0.71935,0.69291,0.60835,0.65603,0.79099,0.77091,0.70265
939912531,0.62353,0.56975,0.63394,0.65542,0.69916,0.62053,0.60745,0.55708,0.64982,0.6605,0.68512,0.60669
2243330549,0.52599,0.52301,0.60533,0.58602,0.64659,0.58135,0.52804,0.52573,0.60082,0.59113,0.63583,0.59691
328450754,0.58957,0.50686,0.58685,0.63489,0.6549,0.54397,0.5832,0.50981,0.58127,0.64751,0.66645,0.57377
276068438,0.59193,0.54348,0.61281,0.65167,0.64503,0.59316,0.58041,0.53587,0.59939,0.66932,0.62893,0.6129
1823231015,0.59801,0.5573,0.68571,0.70262,0.7634,0.62782,0.60726,0.56049,0.68297,0.71017,0.73608,0.65971
